system	run	average_abs_deta	total_track_weight	selected_tracks	selected_events	average_abs_deta_stat_uncertainty	effective_tracks	events_with_tracks
pPb	285975	2.79599828	8680.70737234	8443	115	0.12251299	8162.60415370	115
pPb	285993	2.73168919	44108.22329068	42287	612	0.05561462	41216.87084149	612
pPb	286009	2.83150434	17048.08083619	16437	232	0.08917083	15892.38567467	232
pPb	286010	2.75226044	48214.71873733	45908	627	0.05294433	44696.84040541	627
pPb	286023	2.80228568	52647.93104762	50737	734	0.05120696	49223.10171561	733
pPb	286031	2.66225865	20279.11960229	19371	268	0.08338372	18936.07584098	268
pPb	286033	2.79440835	5062.55446529	4937	71	0.16749097	4759.69085883	71
pPb	286034	2.77780124	32147.11267424	30354	424	0.06806628	29593.27588962	424
pPb	286051	2.75199413	29496.90910655	28319	409	0.06766958	27508.35419946	409
pPb	286054	2.65315217	31801.73796679	30346	421	0.05911465	29496.79439689	421
pPb	286069	2.80192350	28783.93098849	27937	388	0.06924218	27042.28397080	386
pPb	286070	2.73447109	6003.63813567	5681	81	0.13494455	5525.75580030	81
pPb	286178	2.72489767	38916.23459756	37746	513	0.05873067	36487.86939181	512
pPb	286200	2.71152472	13295.73183548	12597	176	0.09557638	12298.54953221	176
pPb	286201	2.71579598	17340.21311530	16675	233	0.08975457	16209.21824043	233
pPb	286288	2.75399642	4368.08473733	4274	67	0.17648392	4136.37698237	67
pPb	286301	2.80824505	47831.81719525	46540	666	0.05385957	44951.67148697	664
pPb	286302	2.64587486	24680.42614597	24087	336	0.06674844	23271.88556704	336
pPb	286309	2.96754121	342.97354084	315	4	0.58566080	310.60656239	4
pPb	286314	3.12346720	5149.90381667	4834	70	0.16015661	4700.42266549	70
pPb	286327	3.19027810	2146.49004012	2008	31	0.31607711	1981.55932666	31
pPb	286329	2.74002819	13453.64246139	13114	196	0.10276539	12656.73431797	196
pPb	286365	2.75928742	57792.27259073	55320	788	0.05031270	53736.14151875	785
pPb	286420	2.47356022	1406.41100162	1293	20	0.33258213	1275.75674320	20
pPb	286422	2.44433992	1801.89482456	2016	28	0.29854286	1849.90437577	28
pPb	286425	2.78418940	63950.87911895	61973	880	0.04688266	59988.20691852	880
pPb	286441	2.36833000	689.22373322	740	13	0.21060556	692.71591932	13
pPb	286442	2.70129000	52500.79768452	50507	706	0.04879183	49046.79713997	705
pPb	286450	2.72499367	78373.09734373	75501	1112	0.03809223	73317.62657068	1109
pPb	286471	2.75614958	75600.75323145	72015	1013	0.04357422	70216.77902590	1011
pPb	286496	2.75399066	36256.85961235	35407	495	0.06254163	34224.25159885	495
PbP	285480	2.74545735	239.22389674	266	4	0.33360894	228.89524730	4
PbP	285505	2.75492050	11390.63095850	10802	147	0.09957950	10583.42733221	147
PbP	285517	2.72419113	71192.71779408	67778	945	0.04670071	65898.36940576	942
PbP	285530	2.74770540	92407.19517139	88634	1250	0.03670147	85953.39871599	1248
PbP	285537	2.67432203	22673.18476630	21759	306	0.07430022	21097.71325243	305
PbP	285538	2.73751492	8545.81823024	8568	122	0.10853846	8159.67520838	122
PbP	285539	2.81498625	43718.98916581	42116	612	0.05482340	40805.54645025	608
PbP	285549	2.67951438	30145.72684795	29422	415	0.06338466	28445.67652116	414
PbP	285684	2.69261025	40395.40950897	39008	545	0.05415936	37796.28435622	541
PbP	285718	2.93664362	21454.54956561	20547	287	0.07394498	19804.68955750	287
PbP	285726	2.77824183	25549.06980261	24387	354	0.07454848	23733.47889556	354
PbP	285750	2.79276909	88297.62507096	84429	1212	0.03942657	82132.24964574	1211
PbP	285759	2.83288820	34368.99341610	33574	470	0.05722014	32483.46448962	469
PbP	285832	2.76774193	5744.87024534	5359	73	0.14466610	5249.23210637	73
