system	run	average_abs_deta	total_track_weight	selected_tracks	selected_events	average_abs_deta_stat_uncertainty	effective_tracks	events_with_tracks
pp	306553	1.63010776	28.45701063	41	1	0.00000000	40.95532068	1
pp	306563	2.72804138	10119.01827908	14266	716	0.05623289	14197.87961653	709
pp	306572	2.70452291	97165.26703465	136718	6689	0.01730787	136051.50569554	6658
pp	306580	2.71822446	127977.98842245	180240	9007	0.01492311	179361.44449149	8973
pp	306584	2.78804190	6147.50966322	8610	426	0.07188332	8566.31988239	425
pp	306595	2.71238290	6373.95001054	8986	463	0.06680022	8935.94107634	462
pp	306598	2.71784202	28225.56827736	39622	1970	0.03221288	39404.86388371	1959
pp	306604	2.74839576	71307.07343334	99868	5018	0.02056136	99318.52267658	4992
pp	306629	2.72282539	68174.75122941	96382	4806	0.02073688	95940.60221777	4784
pp	306630	2.64267570	9635.40399045	13538	666	0.05447878	13465.77291971	660
pp	306631	2.69275763	77050.95544422	108119	5467	0.01929990	107558.17556398	5445
pp	306636	3.22453160	201.60921532	282	18	0.40440163	280.30236199	18
pp	306645	2.63130626	1021.53201038	1448	73	0.14317717	1440.57708829	72
pp	306646	2.72397853	743.79051197	1046	52	0.20616219	1041.55095371	52
pp	306647	2.97172690	143.97113240	203	11	0.32820522	201.94083755	11
pp	306651	2.65956737	1074.86759335	1521	75	0.16293179	1515.06860590	74
pp	306652	2.75021156	691.89818650	973	50	0.21316757	967.72310834	49
pp	306653	2.63821207	8967.13248134	12644	609	0.05718483	12585.58006816	608
pp	306654	2.75148181	10340.10574478	14596	735	0.05493295	14529.60926843	730
pp	306656	2.77844098	11515.55265743	16233	823	0.05030862	16152.72271846	819
pp	306657	2.68316486	58866.53777540	82724	4163	0.02243373	82295.30650775	4144
pp	306705	2.70799134	113006.80813140	159232	7917	0.01594495	158458.94432732	7874
pp	306709	2.71082898	117348.99467355	165206	8236	0.01605169	164392.31649255	8199
pp	306772	2.68002904	89791.25584406	126497	6320	0.01800463	125888.79215893	6287
pp	306773	2.70268536	44996.10861683	62980	3109	0.02617803	62647.54571691	3097
pp	306776	2.58708869	556.27645814	778	42	0.21325913	773.39400416	42
pp	306777	2.63365697	33530.18773359	46865	2320	0.02950290	46606.18026567	2306
pp	306793	2.69507166	166235.79221565	233652	11592	0.01321869	232481.44746193	11532
pp	306794	2.68675724	30671.37922132	42989	2141	0.03122711	42763.66074896	2126
pp	306801	2.70924452	106368.01349765	149596	7369	0.01657904	148854.33750783	7338
pp	306826	2.70170636	35593.23744863	49977	2477	0.02878365	49721.35031797	2461
