Selection	PP raw	PP sub	pPb raw	pPb sub	pPb-pp sub	|pPb-pp|/<raw> [%]
ZPT0_500, trkPT0.5_15	23.373909	0.016970	83.382076	-0.043405	-0.060375	0.113109
ZPT0_30, trkPT0.5_2	19.458512	0.013575	73.527110	-0.084752	-0.098327	0.211488
ZPT0_30, trkPT2_4	1.872943	-0.000683	7.515491	-0.036596	-0.035914	0.765062
ZPT0_30, trkPT4_15	0.438408	-0.000639	1.095574	-0.013682	-0.013043	1.700525
ZPT30_500, trkPT0.5_2	24.146031	-0.030947	76.127581	0.330661	0.361608	0.721243
ZPT30_500, trkPT2_4	4.057258	0.009542	9.743916	0.047346	0.037804	0.547839
ZPT30_500, trkPT4_15	2.453096	0.000521	3.188054	0.007475	0.006954	0.246541
ZPT5_350, trkPT0.5_15	24.631996	0.021019	84.142894	-0.030493	-0.051512	0.094713
ZPT20_40, trkPT0.5_15	26.787418	0.013215	86.328058	0.011152	-0.002063	0.003647
ZPT5_30, trkPT0.5_2	20.217530	0.019715	73.746892	-0.091014	-0.110729	0.235683
ZPT5_30, trkPT2_4	2.095087	-0.000644	7.729494	-0.010173	-0.009529	0.193990
ZPT5_30, trkPT4_15	0.536120	-0.000730	1.214753	-0.002757	-0.002027	0.231553
ZPT30_350, trkPT0.5_2	24.145191	-0.026372	76.127581	0.330661	0.357032	0.712122
ZPT30_350, trkPT2_4	4.055401	0.009057	9.743916	0.047346	0.038289	0.554941
ZPT30_350, trkPT4_15	2.450522	0.000784	3.188054	0.007475	0.006691	0.237336
