# ptlo	pthi	R_pPb	err	R_pPb_ZPT30	err30	specPP	specPPb
0.500	0.630	1.1684	0.0076	1.2337	0.0069	1.0416e+01	1.2170e+01
0.630	0.793	0.9498	0.0077	1.0409	0.0067	7.3463e+00	6.9773e+00
0.793	0.999	0.7358	0.0081	0.9171	0.0069	4.8056e+00	3.5357e+00
0.999	1.258	0.5889	0.0085	0.8664	0.0070	3.0663e+00	1.8056e+00
1.258	1.585	0.6275	0.0088	0.9237	0.0072	1.9313e+00	1.2119e+00
1.585	1.996	0.7557	0.0089	1.0223	0.0073	1.2074e+00	9.1239e-01
1.996	2.514	0.9002	0.0084	1.0758	0.0073	7.5291e-01	6.7773e-01
2.514	3.166	0.9582	0.0079	1.0637	0.0072	4.6799e-01	4.4844e-01
3.166	3.987	0.9472	0.0075	0.9982	0.0072	2.8096e-01	2.6612e-01
3.987	5.022	0.8470	0.0073	0.8856	0.0071	1.7003e-01	1.4401e-01
5.022	6.325	0.8084	0.0076	0.8369	0.0075	9.7570e-02	7.8871e-02
6.325	7.966	0.7661	0.0081	0.7956	0.0080	5.6550e-02	4.3321e-02
7.966	10.032	0.7680	0.0090	0.7824	0.0089	3.1380e-02	2.4100e-02
10.032	12.635	0.7644	0.0103	0.7705	0.0099	1.6903e-02	1.2921e-02
12.635	15.914	0.7775	0.0117	0.7893	0.0116	9.0795e-03	7.0590e-03
15.914	20.043	0.7819	0.0136	0.7802	0.0134	4.5372e-03	3.5476e-03
20.043	25.244	0.8579	0.0170	0.8548	0.0168	2.2396e-03	1.9215e-03
25.244	31.794	0.8696	0.0206	0.8737	0.0205	1.0348e-03	8.9986e-04
31.794	40.043	0.8838	0.0247	0.8856	0.0246	4.7992e-04	4.2415e-04
40.043	50.433	0.9487	0.0317	0.9446	0.0315	2.0084e-04	1.9054e-04
50.433	63.519	0.9866	0.0406	0.9880	0.0406	8.0893e-05	7.9806e-05
63.519	80.000	0.9926	0.0514	0.9997	0.0518	3.0992e-05	3.0763e-05
