# zpt	trk	class	meanN	R(class/pp)	err
0_500	0.5_2	le3	2.57	1.3202	0.0852
0_500	0.5_2	8to12	10.19	1.1057	0.0291
0_500	0.5_2	ge17	18.64	1.1076	0.0304
0_500	2_4	le3	2.57	1.0326	0.0710
0_500	2_4	8to12	10.19	1.0171	0.0253
0_500	2_4	ge17	18.64	0.9665	0.0265
0_500	4_15	le3	2.57	0.8909	0.0645
0_500	4_15	8to12	10.19	0.7739	0.0168
0_500	4_15	ge17	18.64	0.7576	0.0166
0_30	0.5_2	le3	2.57	1.1275	0.1234
0_30	0.5_2	8to12	10.19	0.9763	0.0416
0_30	0.5_2	ge17	18.64	1.0059	0.0436
0_30	2_4	le3	2.57	0.6636	0.1201
0_30	2_4	8to12	10.19	0.9468	0.0443
0_30	2_4	ge17	18.64	0.8493	0.0472
0_30	4_15	le3	2.57	0.8351	0.1596
0_30	4_15	8to12	10.19	0.6879	0.0399
0_30	4_15	ge17	18.64	0.7358	0.0412
30_500	0.5_2	le3	2.57	1.5135	0.0738
30_500	0.5_2	8to12	10.19	1.3637	0.0247
30_500	0.5_2	ge17	18.64	1.3654	0.0256
30_500	2_4	le3	2.57	1.1810	0.0730
30_500	2_4	8to12	10.19	1.1106	0.0221
30_500	2_4	ge17	18.64	1.0954	0.0223
30_500	4_15	le3	2.57	0.8516	0.0590
30_500	4_15	8to12	10.19	0.7942	0.0161
30_500	4_15	ge17	18.64	0.7792	0.0157
